2025-11-08T13:57:26+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:57:28+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:57:31+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:57:34+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:57:36+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:57:39+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:57:42+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:57:45+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:57:48+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:57:52+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:57:54+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:58:00+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:58:03+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:58:06+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:58:09+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:58:15+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
